,Query 1,Query 2,Query 3.1,Query 3.2,Query 3.3,Query 3.4,Query 4.1,Query 4.2,Query 4.3,Query 4.4,Query 5.1,Query 5.2,Query 5.3
scan count,2.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,45.0,45.0,45.0
logical reads,3990.0,34330562.0,34333544.0,34338620.0,34343360.0,34346780.0,34331924.0,34335560.0,34338230.0,34340918.0,68667388.0,68668408.0,34341782.0
physical reads,6.0,992.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read-ahead reads,3985.0,34326351.0,34319205.0,34316455.0,34328879.0,34320680.0,34300646.0,34317142.0,34315643.0,34333186.0,68477571.0,68476599.0,34326070.0
page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob logical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob physical reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lob page server read-ahead reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment reads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment skipped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu time,1.797,1131.17,2491.721,3653.762,4950.125999999999,6068.108,2017.374,2484.75,2917.6690000000003,3333.059,3538.109,3537.281,2444.437
elapsed time,17.845000000000002,163.79100000000003,337.45500000000004,531.8059999999999,748.1880000000001,954.53,266.014,326.71799999999996,382.803,434.226,466.701,470.34499999999997,320.832
total logical reads,3990.0,34330562.0,34333544.0,34338620.0,34343360.0,34346780.0,34331924.0,34335560.0,34338230.0,34340918.0,68667388.0,68668408.0,34341782.0
total read-aheads,3985.0,34326351.0,34319205.0,34316455.0,34328879.0,34320680.0,34300646.0,34317142.0,34315643.0,34333186.0,68477571.0,68476599.0,34326070.0
cpu parallelisation,0.10070047632390024,6.906179216196249,7.383861551910624,6.870479084478176,6.616152624741373,6.357168449393943,7.5837136391317745,7.605182450920979,7.621855105628745,7.675862338966345,7.581104390177008,7.520609339952588,7.619056079194095
segment efficiency,,,,,,,,,,,,,
